sentence,predict
<<<<<<< HEAD
그 주제와 관련하여 지금 문제가 무엇인가요?,관점전환
=======
당신은 잘하고 있습니다.,인정
용기를 가지세요,판단
>>>>>>> 96ab70a3082d454897f14126efda57ebf52c0f3d
