sentence,predict
<<<<<<< HEAD
"오늘 대화 나누기로 했는데, 어떤 주제로 대화 나누고 싶으신가요?",존중
=======
<<<<<<<< HEAD:kt_coaching_base/rpg/static/df_csv/9_0.csv
안녕 하세요.,존중
,부정
========
안녕하세요 오늘은 어떤 주제로 얘기 하고 싶으세요 ?,존중
>>>>>>>> 4380b94cd3620849045f39b67ebf966ab32eb33d:kt_coaching_base/rpg/static/df_csv/1_0.csv
>>>>>>> 4380b94cd3620849045f39b67ebf966ab32eb33d
