sentence,predict
<<<<<<< HEAD
성과와 관련하여 잘 되고 있는 건 어떤 건가요?,Reality
=======
그래 잘하고 있네,ETC
>>>>>>> 256b896a70c392cbd93a9a88e2560c3857091c16
